R_amplitude,P_amplitude,T_amplitude,RR0_s,RR1_s,Heart_rate_bpm,PR_ms,True_Label,Predicted_Label
1.9224886894226074,0.27563777565956116,0.040007468312978745,0.7638888955116272,1.25,78.54545593261719,52.77777862548828,N,N
2.0446348190307617,0.2555864453315735,0.04462673142552376,1.25,1.1833332777023315,48.0,50.0,N,N
1.8663568496704102,0.29886046051979065,0.023856565356254578,1.1833332777023315,1.2027777433395386,50.7042236328125,50.0,N,N
2.0244646072387695,0.26966336369514465,0.05894427001476288,1.2027777433395386,1.2138888835906982,49.884525299072266,50.0,N,N
1.7395268678665161,0.24213162064552307,0.06662481278181076,1.2138888835906982,1.2638888359069824,49.42791748046875,47.22222137451172,N,N
1.9967565536499023,0.07306165993213654,0.0491817332804203,1.2638888359069824,1.225000023841858,47.47252655029297,127.77777862548828,N,N
1.756191372871399,0.3200749158859253,0.05574363097548485,1.225000023841858,1.1722222566604614,48.979591369628906,55.55555725097656,N,N
2.0685086250305176,0.0762087032198906,0.04982272535562515,1.1722222566604614,1.2138888835906982,51.18483352661133,125.0,N,N
1.782111644744873,0.2746921479701996,0.03197399526834488,1.2138888835906982,1.144444465637207,49.42791748046875,50.0,N,N
2.0686845779418945,0.2746921479701996,0.06762488186359406,1.144444465637207,1.2166666984558105,52.42718505859375,1194.4444580078125,N,N
1.7772576808929443,0.25459733605384827,0.05659892037510872,1.2166666984558105,1.1722222566604614,49.315067291259766,50.0,N,N
2.0482559204101562,0.25459733605384827,0.04505898430943489,1.1722222566604614,1.225000023841858,51.18483352661133,1222.22216796875,N,N
1.825988531112671,0.28727275133132935,0.06770682334899902,1.225000023841858,1.1694444417953491,48.979591369628906,52.77777862548828,N,N
2.058551073074341,0.2579006850719452,0.05069824308156967,1.1694444417953491,1.2472221851348877,51.30641174316406,50.0,N,N
1.948081612586975,0.2607996463775635,0.04597869887948036,1.2472221851348877,1.1916667222976685,48.106903076171875,55.55555725097656,N,N
1.9410535097122192,0.2550101578235626,0.05434512719511986,1.1916667222976685,1.2333333492279053,50.34965133666992,44.44444274902344,N,N
2.0218613147735596,0.24478597939014435,0.04378216713666916,1.2333333492279053,1.2027777433395386,48.64864730834961,52.77777862548828,N,N
1.9244379997253418,0.26890599727630615,0.05448083207011223,1.2027777433395386,1.2194443941116333,49.884525299072266,52.77777862548828,N,N
2.0631468296051025,0.24208776652812958,0.05748753249645233,1.2194443941116333,1.1888889074325562,49.20273208618164,50.0,N,N
1.9288337230682373,0.2752554714679718,0.0478888675570488,1.1888889074325562,1.211111068725586,50.467288970947266,50.0,N,N
2.117978811264038,0.23534847795963287,0.0652686133980751,1.211111068725586,1.1666666269302368,49.541282653808594,50.0,N,N
1.908207654953003,0.29369524121284485,0.055828433483839035,1.1666666269302368,1.2166666984558105,51.42856979370117,47.22222137451172,N,N
2.0812954902648926,0.07097987830638885,0.052135951817035675,1.2166666984558105,1.1833332777023315,49.315067291259766,130.55555725097656,N,N
1.8730602264404297,0.32100558280944824,0.056955065578222275,1.1833332777023315,1.225000023841858,50.7042236328125,52.77777862548828,N,N
2.1108503341674805,0.25346434116363525,0.0423414446413517,1.225000023841858,1.1833332777023315,48.979591369628906,50.0,N,N
1.841410756111145,0.2867540419101715,0.039812956005334854,1.1833332777023315,1.1944444179534912,50.7042236328125,50.0,N,N
2.152952194213867,0.27385032176971436,0.04353302717208862,1.1944444179534912,1.2083333730697632,50.23255920410156,52.77777862548828,N,N
1.8616218566894531,0.25897231698036194,0.054628871381282806,1.2083333730697632,1.2055555582046509,49.655174255371094,50.0,N,N
2.1221659183502197,0.26103144884109497,0.053306080400943756,1.2055555582046509,1.1833332777023315,49.76958465576172,47.22222137451172,N,N
1.8778188228607178,0.24419622123241425,0.06761548668146133,1.1833332777023315,1.1777777671813965,50.7042236328125,47.22222137451172,N,N
1.963524580001831,0.0729677602648735,0.06293803453445435,1.1777777671813965,1.2083333730697632,50.943397521972656,127.77777862548828,N,N
1.999822974205017,0.2544342875480652,0.04822571575641632,1.2083333730697632,1.1916667222976685,49.655174255371094,47.22222137451172,N,N
1.722044825553894,0.2713373899459839,0.07212967425584793,1.1916667222976685,1.1888889074325562,50.34965133666992,47.22222137451172,N,N
1.9466311931610107,0.29283589124679565,0.04991818219423294,1.1888889074325562,1.2583333253860474,50.467288970947266,52.77777862548828,N,N
1.976913571357727,0.2809712290763855,0.06202472746372223,1.2583333253860474,1.2166666984558105,47.6821174621582,50.0,N,N
1.78485107421875,0.3080712556838989,0.06752511113882065,1.2166666984558105,1.2388888597488403,49.315067291259766,50.0,N,N
1.8856388330459595,0.2626344859600067,0.05792416259646416,1.2388888597488403,1.2527778148651123,48.43049240112305,47.22222137451172,N,N
2.060049533843994,0.27324044704437256,0.04950173199176788,1.2527778148651123,1.255555510520935,47.89356994628906,52.77777862548828,N,N
